Sample No.,Well,Sample Name,Comment,Peak No.,Time (sec.),Height (mV),Area (mV·sec),Size (bp)/(nt),Attribute,Conc. (ng/µL),Migration Index (%),Area (mV·µm),Molarity (nmol/L),Start Index (%),End Index (%)
57,E8,E8,,1,46.06,61.64,63.74,-,(LM),-,0.00,690.78,-,-2.43,2.47
57,E8,E8,,2,48.26,4.99,5.02,70,,0.88,3.82,49.33,18.94,2.47,5.80
57,E8,E8,,3,49.78,1.45,1.85,115,,0.30,6.46,16.84,3.93,5.80,9.49
57,E8,E8,,4,56.60,30.63,26.03,322,,3.33,18.31,186.03,15.52,16.71,20.88
57,E8,E8,,5,103.62,14.89,32.58,-,(UM),-,100.00,69.85,-,93.61,104.34
58,E9,E9,,1,45.32,62.59,56.31,-,(LM),-,0.00,628.69,-,-2.20,2.38
58,E9,E9,,2,47.50,22.32,20.78,73,,3.28,3.99,210.80,67.40,2.38,6.56
58,E9,E9,,3,50.04,3.31,4.56,153,,0.65,8.64,41.93,6.40,6.56,10.22
58,E9,E9,,4,57.04,572.32,336.58,373,,36.89,21.47,2373.27,148.51,16.92,27.47
58,E9,E9,,5,99.92,26.04,35.13,-,(UM),-,100.00,80.41,-,97.00,104.29
59,E10,E10,,1,46.08,59.98,63.22,-,(LM),-,0.00,683.51,-,-2.35,2.66
59,E10,E10,,2,48.26,2.40,2.30,69,,0.46,3.77,22.50,10.00,2.66,5.70
59,E10,E10,,3,49.90,0.97,0.95,117,,0.18,6.60,8.74,2.29,5.70,8.50
59,E10,E10,,4,58.36,21.76,19.87,369,,2.73,21.21,133.88,11.12,19.59,23.32
59,E10,E10,,5,103.98,13.45,28.71,-,(UM),-,100.00,61.23,-,94.16,103.94
60,E11,E11,,1,46.00,59.60,61.04,-,(LM),-,0.00,662.61,-,-2.38,2.38
60,E11,E11,,2,48.20,6.52,7.68,70,,1.43,3.80,75.42,30.69,2.38,5.56
60,E11,E11,,3,49.88,4.28,9.62,119,,1.62,6.70,85.61,20.49,5.56,14.30
60,E11,E11,,4,58.20,57.74,52.32,366,,6.71,21.06,353.83,27.54,18.92,25.86
60,E11,E11,,5,103.92,14.25,30.78,-,(UM),-,100.00,65.90,-,93.61,103.73
61,E12,E12,,1,46.12,61.29,64.29,-,(LM),-,0.00,693.79,-,-2.38,2.49
61,E12,E12,,2,48.42,4.38,5.76,73,,1.08,3.97,56.19,22.19,2.49,5.70
61,E12,E12,,3,50.10,3.56,6.11,121,,1.05,6.87,54.68,13.02,5.70,12.88
61,E12,E12,,4,58.42,16.11,15.47,369,,2.00,21.24,103.99,8.12,19.54,24.14
61,E12,E12,,5,104.04,13.82,30.64,-,(UM),-,100.00,65.12,-,93.65,104.35
62,F1,F1,,1,45.32,66.34,55.59,-,(LM),-,0.00,621.15,-,-2.17,2.24
62,F1,F1,,2,47.64,17.88,25.37,77,,3.99,4.19,255.60,77.82,2.24,6.36
62,F1,F1,,3,50.28,18.70,35.56,160,,5.03,8.96,321.94,47.17,6.36,14.78
62,F1,F1,,4,54.50,10.10,7.94,296,,0.96,16.59,61.37,4.86,14.78,17.93
62,F1,F1,,5,56.02,31.19,20.23,338,,2.31,19.34,148.05,10.27,17.93,21.47
62,F1,F1,,6,100.66,25.02,35.49,-,(UM),-,100.00,80.06,-,96.64,104.05
63,F2,F2,,1,46.08,61.55,63.28,-,(LM),-,0.00,684.68,-,-2.34,2.38
63,F2,F2,,2,48.30,6.69,8.14,70,,1.53,3.82,79.68,32.72,2.38,5.37
63,F2,F2,,3,50.08,6.86,17.33,122,,2.93,6.89,153.00,36.05,5.37,16.26
63,F2,F2,,4,57.80,43.62,37.94,351,,4.98,20.19,260.19,21.31,18.15,23.87
63,F2,F2,,5,104.14,14.52,30.53,-,(UM),-,100.00,65.29,-,93.80,103.38
64,F3,F3,,1,45.22,68.16,59.63,-,(LM),-,0.00,669.21,-,-2.37,2.18
64,F3,F3,,2,47.42,34.62,43.18,75,,6.34,4.07,437.96,126.87,2.18,6.43
64,F3,F3,,3,56.32,720.91,420.64,357,,43.98,20.52,3039.38,184.96,16.27,29.46
64,F3,F3,,4,99.32,27.93,37.28,-,(UM),-,100.00,86.39,-,96.56,104.44
65,F4,F4,,1,45.86,65.72,64.54,-,(LM),-,0.00,704.12,-,-2.36,2.43
65,F4,F4,,2,48.04,9.35,10.68,70,,1.51,3.84,105.42,32.32,2.43,5.89
65,F4,F4,,3,50.16,4.88,9.30,133,,1.20,7.58,83.68,13.50,5.89,14.24
65,F4,F4,,4,57.50,115.79,84.37,357,,8.36,20.51,585.14,35.18,17.13,24.99
65,F4,F4,,5,102.60,22.13,40.11,-,(UM),-,100.00,87.45,-,94.68,104.09
66,F5,F5,,1,45.56,65.76,60.09,-,(LM),-,0.00,664.16,-,-2.24,2.31
66,F5,F5,,2,47.80,18.93,24.78,74,,3.45,4.04,247.04,69.93,2.31,6.20
66,F5,F5,,3,57.20,151.46,94.27,365,,9.22,21.00,660.83,37.92,18.11,26.73
66,F5,F5,,4,101.00,27.47,39.98,-,(UM),-,100.00,89.60,-,96.43,104.15
67,F6,F6,,1,45.46,69.84,62.80,-,(LM),-,0.00,696.53,-,-2.26,2.23
67,F6,F6,,2,47.72,29.25,39.58,76,,5.11,4.12,396.04,101.00,2.23,6.64
67,F6,F6,,3,56.66,812.96,433.55,355,,39.95,20.44,3094.97,168.97,16.68,29.49
67,F6,F6,,4,100.26,30.67,42.56,-,(UM),-,100.00,96.84,-,95.80,104.31
68,F7,F7,,1,46.06,64.46,65.93,-,(LM),-,0.00,713.72,-,-2.38,2.42
68,F7,F7,,2,48.26,8.16,9.43,71,,1.62,3.85,92.46,34.31,2.42,5.75
68,F7,F7,,3,50.10,4.84,9.05,125,,1.42,7.08,80.98,17.07,5.75,14.09
68,F7,F7,,4,57.76,49.63,43.01,356,,5.19,20.50,295.52,21.87,17.45,24.98
68,F7,F7,,5,103.14,15.78,33.03,-,(UM),-,100.00,71.24,-,94.53,104.10
69,F8,F8,,1,45.98,63.22,63.49,-,(LM),-,0.00,690.44,-,-2.41,2.34
69,F8,F8,,2,48.14,10.02,11.20,69,,1.69,3.78,110.28,36.77,2.34,5.74
69,F8,F8,,3,57.62,168.11,126.26,354,,13.38,20.36,873.28,56.75,16.62,26.14
69,F8,F8,,4,103.14,19.94,37.56,-,(UM),-,100.00,81.59,-,94.68,103.67
70,F9,F9,,1,46.06,61.76,63.37,-,(LM),-,0.00,685.66,-,-2.32,2.49
70,F9,F9,,2,48.22,5.68,5.93,68,,1.11,3.73,58.10,24.54,2.49,5.67
70,F9,F9,,3,50.08,2.79,4.30,123,,0.75,6.95,38.99,9.11,5.67,10.44
70,F9,F9,,4,57.74,88.49,74.74,351,,9.83,20.19,513.85,42.05,17.14,24.37
70,F9,F9,,5,103.92,14.37,30.49,-,(UM),-,100.00,65.35,-,93.43,103.63
71,F10,F10,,1,45.82,61.81,59.96,-,(LM),-,0.00,655.22,-,-2.25,2.36
71,F10,F10,,2,48.04,13.64,14.94,72,,2.37,3.91,147.74,49.40,2.36,6.09
71,F10,F10,,3,50.00,4.57,8.39,129,,1.21,7.36,75.59,14.11,6.09,13.70
71,F10,F10,,4,57.58,135.94,92.24,360,,10.24,20.71,638.57,42.70,16.98,25.15
71,F10,F10,,5,102.60,20.96,35.74,-,(UM),-,100.00,77.96,-,94.93,103.98
72,F11,F11,,1,46.24,60.77,65.23,-,(LM),-,0.00,700.22,-,-2.35,2.66
72,F11,F11,,2,48.62,0.93,0.99,74,,0.20,4.06,9.53,3.98,2.86,5.63
72,F11,F11,,3,50.10,0.80,0.82,117,,0.15,6.58,7.48,1.98,5.63,8.53
72,F11,F11,,4,58.24,6.00,6.21,356,,0.86,20.46,41.89,3.63,19.00,22.75
72,F11,F11,,5,104.88,11.95,29.07,-,(UM),-,100.00,60.77,-,93.72,104.88
73,F12,F12,,1,46.18,62.06,65.34,-,(LM),-,0.00,703.40,-,-2.50,2.50
73,F12,F12,,2,48.40,3.71,4.52,69,,0.84,3.79,44.07,18.20,2.50,5.64
73,F12,F12,,3,49.94,2.12,2.81,114,,0.48,6.43,25.40,6.35,5.64,10.70
73,F12,F12,,4,58.04,11.76,11.13,353,,1.44,20.27,75.75,6.12,18.74,22.87
73,F12,F12,,5,104.68,13.47,31.11,-,(UM),-,100.00,65.85,-,92.27,103.79
74,G1,G1,,1,45.28,69.57,57.96,-,(LM),-,0.00,647.84,-,-2.06,2.93
74,G1,G1,,2,47.66,3.06,3.54,79,,0.54,4.30,35.72,10.19,2.93,6.93
74,G1,G1,,3,50.46,14.49,10.82,169,,1.46,9.35,97.04,12.95,7.33,12.21
74,G1,G1,,4,52.62,1.43,1.14,237,,0.14,13.25,9.50,0.90,12.21,14.52
74,G1,G1,,5,54.58,1.20,0.95,300,,0.11,16.79,7.32,0.55,15.60,18.13
74,G1,G1,,6,100.66,25.93,36.91,-,(UM),-,100.00,83.25,-,95.74,104.30
75,G2,G2,,1,45.26,69.06,58.89,-,(LM),-,0.00,659.28,-,-2.13,2.35
75,G2,G2,,2,47.56,22.93,27.30,78,,3.44,4.23,276.13,66.24,2.35,6.22
75,G2,G2,,3,50.04,25.85,49.87,156,,5.64,8.79,452.61,54.29,6.22,15.34
75,G2,G2,,4,54.62,15.88,16.24,306,,1.55,17.21,124.35,7.60,15.34,19.24
75,G2,G2,,5,56.64,319.90,200.86,364,,17.87,20.93,1434.29,73.73,19.24,24.20
75,G2,G2,,6,67.16,1.06,1.85,710,,0.12,40.27,9.53,0.25,37.15,41.63
75,G2,G2,,7,99.64,31.20,43.58,-,(UM),-,100.00,100.31,-,95.37,106.91
76,G3,G3,,1,45.36,67.22,57.52,-,(LM),-,0.00,641.71,-,-2.21,1.99
76,G3,G3,,2,56.40,341.13,216.29,354,,20.47,20.36,1552.43,86.82,18.81,30.54
76,G3,G3,,3,99.58,30.53,41.15,-,(UM),-,100.00,94.81,-,96.79,104.76
77,G4,G4,,1,45.40,66.90,57.79,-,(LM),-,0.00,642.94,-,-2.02,2.02
77,G4,G4,,2,56.44,536.69,307.68,353,,31.58,20.30,2208.46,134.33,18.65,31.00
77,G4,G4,,3,99.78,28.45,38.12,-,(UM),-,100.00,87.41,-,97.98,104.23
78,G5,G5,,1,46.18,62.80,66.85,-,(LM),-,0.00,719.64,-,-2.44,2.71
78,G5,G5,,2,57.64,5.55,5.20,343,,0.60,19.69,35.77,2.61,18.35,22.23
78,G5,G5,,3,104.38,15.08,35.60,-,(UM),-,100.00,74.94,-,94.12,105.60
79,G6,G6,,1,45.38,67.50,59.76,-,(LM),-,0.00,666.19,-,-2.16,2.23
79,G6,G6,,2,47.64,21.81,29.40,76,,4.04,4.13,295.80,79.86,2.23,6.11
79,G6,G6,,3,56.28,389.54,232.15,347,,22.95,19.93,1679.17,99.29,16.49,27.28
79,G6,G6,,4,100.08,29.25,40.07,-,(UM),-,100.00,91.48,-,96.49,104.24
80,G7,G7,,1,45.50,67.02,58.84,-,(LM),-,0.00,652.32,-,-2.25,1.96
80,G7,G7,,2,56.34,391.67,225.72,344,,22.69,19.71,1625.57,99.06,17.93,31.16
80,G7,G7,,3,67.38,2.17,2.16,702,,0.15,39.78,10.89,0.33,38.33,42.00
80,G7,G7,,4,100.50,28.31,39.60,-,(UM),-,100.00,89.54,-,95.71,104.62
81,G8,G8,,1,45.48,66.53,58.98,-,(LM),-,0.00,654.88,-,-2.41,2.19
81,G8,G8,,2,47.72,24.47,33.66,75,,4.97,4.08,337.27,99.52,2.19,6.13
81,G8,G8,,3,56.42,364.89,216.28,347,,22.92,19.95,1555.17,99.18,16.34,28.74
81,G8,G8,,4,100.32,28.02,37.33,-,(UM),-,100.00,84.81,-,96.10,104.19
82,G9,G9,,1,45.68,64.96,60.23,-,(LM),-,0.00,662.71,-,-2.27,2.27
82,G9,G9,,2,47.90,21.40,27.07,73,,3.61,4.00,269.02,74.34,2.27,6.13
82,G9,G9,,3,56.64,616.16,334.61,344,,32.12,19.75,2390.85,140.20,15.93,28.68
82,G9,G9,,4,101.18,29.86,41.61,-,(UM),-,100.00,93.04,-,95.50,103.93
83,G10,G10,,1,46.26,62.47,67.44,-,(LM),-,0.00,722.15,-,-2.33,2.74
83,G10,G10,,2,57.96,1.78,1.71,345,,0.23,19.78,11.64,0.98,18.70,21.85
83,G10,G10,,3,105.40,12.37,30.94,-,(UM),-,100.00,64.32,-,93.78,104.43
84,G11,G11,,1,45.38,68.91,61.70,-,(LM),-,0.00,686.39,-,-2.13,2.28
84,G11,G11,,2,56.36,261.54,161.35,351,,15.70,20.15,1161.68,67.15,18.31,28.59
84,G11,G11,,3,67.42,3.72,3.60,713,,0.24,40.44,18.04,0.51,39.30,42.97
84,G11,G11,,4,99.88,30.08,40.42,-,(UM),-,100.00,92.51,-,96.59,104.44
85,G12,G12,,1,47.66,51.47,70.80,-,(LM),-,0.00,697.82,-,-1.88,11.55
85,G12,G12,,2,56.62,175.95,101.98,301,,9.59,16.86,729.51,47.82,14.94,20.29
85,G12,G12,,3,100.80,30.79,42.25,-,(UM),-,100.00,95.12,-,96.12,104.93
86,H1,H1,,1,46.34,60.81,65.47,-,(LM),-,0.00,700.43,-,-2.43,2.63
86,H1,H1,,2,105.64,12.65,30.93,-,(UM),-,100.00,64.38,-,92.31,103.78
87,H2,H2,,1,45.50,69.60,61.95,-,(LM),-,0.00,685.90,-,-2.25,3.15
87,H2,H2,,2,50.54,10.55,7.59,161,,0.95,9.01,67.84,8.89,7.76,11.91
87,H2,H2,,3,101.42,27.78,40.08,-,(UM),-,100.00,88.96,-,96.14,104.86
88,H3,H3,,1,45.28,69.49,61.17,-,(LM),-,0.00,683.93,-,-2.21,3.27
88,H3,H3,,2,47.88,1.10,0.93,87,,0.13,4.72,9.43,2.27,3.27,5.66
88,H3,H3,,3,50.34,11.42,8.03,165,,1.01,9.18,72.42,9.20,7.76,11.97
88,H3,H3,,4,100.40,28.77,39.50,-,(UM),-,100.00,89.51,-,97.21,105.08
89,H4,H4,,1,45.46,68.42,60.88,-,(LM),-,0.00,674.68,-,-2.08,3.22
89,H4,H4,,2,47.96,1.07,0.90,82,,0.13,4.47,8.98,2.30,3.22,5.65
89,H4,H4,,3,50.50,11.26,7.87,161,,0.99,9.02,70.47,9.22,7.80,11.84
89,H4,H4,,4,101.36,27.06,40.03,-,(UM),-,100.00,89.14,-,95.42,104.29
90,H5,H5,,1,46.28,59.78,65.11,-,(LM),-,0.00,697.20,-,-2.27,2.64
90,H5,H5,,2,105.32,11.47,28.30,-,(UM),-,100.00,59.12,-,93.12,103.93
91,H6,H6,,1,46.18,59.30,64.11,-,(LM),-,0.00,689.42,-,-2.42,2.59
91,H6,H6,,2,104.94,15.60,34.91,-,(UM),-,100.00,73.42,-,93.40,103.85
92,H7,H7,,1,46.32,59.17,64.59,-,(LM),-,0.00,692.39,-,-2.38,2.69
92,H7,H7,,2,100.82,0.44,0.18,12514,,0.01,92.62,0.41,0.00,92.01,93.10
92,H7,H7,,3,105.16,10.97,28.54,-,(UM),-,100.00,59.45,-,93.13,105.71
93,H8,H8,,1,46.30,59.96,65.45,-,(LM),-,0.00,701.21,-,-2.40,2.50
93,H8,H8,,2,105.52,14.44,34.40,-,(UM),-,100.00,71.75,-,93.35,103.78
94,H9,H9,,1,46.32,59.06,64.48,-,(LM),-,0.00,689.18,-,-2.30,2.61
94,H9,H9,,2,105.36,10.79,28.35,-,(UM),-,100.00,58.67,-,94.00,104.74
95,H10,H10,,1,46.00,61.24,65.66,-,(LM),-,0.00,713.12,-,-2.43,2.64
95,H10,H10,,2,102.76,25.39,42.69,-,(UM),-,100.00,92.75,-,94.40,104.23
96,H11,H11,,1,45.88,59.28,61.98,-,(LM),-,0.00,676.73,-,-2.44,2.65
96,H11,H11,,2,102.38,27.43,42.09,-,(UM),-,100.00,92.08,-,94.69,104.21
97,H12,H12,,1,45.92,56.66,61.66,-,(LM),-,0.00,671.79,-,-2.65,2.79
97,H12,H12,,2,49.06,9.03,6.75,103,,1.12,5.62,64.44,16.37,4.01,6.97
97,H12,H12,,3,52.08,9.09,4.42,205,,0.65,11.02,37.43,4.78,10.01,12.09
97,H12,H12,,4,55.46,10.74,5.65,303,,0.73,17.06,42.14,3.64,16.06,18.24
97,H12,H12,,5,59.02,14.46,8.83,408,,1.02,23.43,58.28,3.74,21.89,24.71
97,H12,H12,,6,62.18,29.88,22.80,508,,2.36,29.08,135.34,6.97,27.43,30.90
97,H12,H12,,7,65.60,6.21,4.79,611,,0.45,35.19,25.56,1.09,33.76,36.62
97,H12,H12,,8,68.52,7.04,5.74,712,,0.49,40.41,28.09,1.03,38.91,41.99
97,H12,H12,,9,71.30,8.06,7.14,800,,0.56,45.39,32.25,1.06,43.71,47.07
97,H12,H12,,10,73.40,8.61,8.11,941,,0.60,49.14,34.53,0.96,47.46,50.82
97,H12,H12,,11,75.36,29.46,29.68,996,,2.09,52.65,119.90,3.15,50.82,54.94
97,H12,H12,,12,78.86,10.42,11.40,1467,,0.74,58.91,42.18,0.75,56.69,60.94
97,H12,H12,,13,82.16,12.84,15.22,2135,,0.90,64.81,51.80,0.63,62.55,66.92
97,H12,H12,,14,84.42,8.95,10.35,2760,,0.58,68.85,33.38,0.32,66.92,70.85
97,H12,H12,,15,87.44,26.33,33.18,3891,,1.74,74.25,99.81,0.67,71.78,76.36
97,H12,H12,,16,89.40,5.66,6.89,4862,,0.35,77.75,19.81,0.11,76.36,79.08
97,H12,H12,,17,92.14,8.73,10.95,6639,,0.51,82.65,29.54,0.12,81.76,84.91
97,H12,H12,,18,94.72,6.63,8.00,8902,,0.36,87.27,20.52,0.06,85.44,88.73
97,H12,H12,,19,96.24,6.56,8.84,10581,,0.38,89.99,21.84,0.05,88.73,92.70
97,H12,H12,,20,101.84,22.47,32.44,-,(UM),-,100.00,71.72,-,96.96,103.51
